IP地址,端口,TLS,数据中心,地区,城市,网络延迟,速度
103.184.44.25,443,true,SJC,North America,San Jose,187 ms,3.84 MB/s
103.184.45.242,443,true,SJC,North America,San Jose,182 ms,3.83 MB/s
103.184.45.108,443,true,SJC,North America,San Jose,189 ms,3.82 MB/s
103.184.45.17,443,true,SJC,North America,San Jose,227 ms,3.82 MB/s
103.184.45.243,443,true,SJC,North America,San Jose,189 ms,3.81 MB/s
103.184.45.64,443,true,SJC,North America,San Jose,194 ms,3.80 MB/s
103.184.44.165,443,true,SJC,North America,San Jose,187 ms,3.79 MB/s
103.184.45.58,443,true,SJC,North America,San Jose,181 ms,3.78 MB/s
103.184.45.194,443,true,SJC,North America,San Jose,187 ms,3.77 MB/s
103.184.44.99,443,true,SJC,North America,San Jose,189 ms,3.77 MB/s
103.184.44.52,443,true,SJC,North America,San Jose,182 ms,3.76 MB/s
103.184.45.88,443,true,SJC,North America,San Jose,205 ms,3.76 MB/s
103.184.44.114,443,true,SJC,North America,San Jose,227 ms,3.75 MB/s
103.184.45.33,443,true,SJC,North America,San Jose,191 ms,3.75 MB/s
103.184.45.217,443,true,SJC,North America,San Jose,192 ms,3.74 MB/s
103.184.44.4,443,true,SJC,North America,San Jose,193 ms,3.73 MB/s
103.184.44.207,443,true,SJC,North America,San Jose,186 ms,3.73 MB/s
103.184.44.3,443,true,SJC,North America,San Jose,192 ms,3.71 MB/s
103.184.44.188,443,true,SJC,North America,San Jose,237 ms,3.71 MB/s
103.184.44.170,443,true,SJC,North America,San Jose,202 ms,3.69 MB/s
103.184.44.51,443,true,SJC,North America,San Jose,191 ms,3.68 MB/s
103.184.44.147,443,true,SJC,North America,San Jose,182 ms,3.68 MB/s
103.184.44.64,443,true,SJC,North America,San Jose,188 ms,3.68 MB/s
103.184.44.41,443,true,SJC,North America,San Jose,227 ms,3.66 MB/s
103.184.44.199,443,true,SJC,North America,San Jose,191 ms,3.65 MB/s
103.184.45.251,443,true,SJC,North America,San Jose,192 ms,3.64 MB/s
103.184.45.123,443,true,SJC,North America,San Jose,189 ms,3.63 MB/s
103.184.44.168,443,true,SJC,North America,San Jose,188 ms,3.63 MB/s
103.184.45.107,443,true,SJC,North America,San Jose,189 ms,3.62 MB/s
103.184.44.78,443,true,SJC,North America,San Jose,186 ms,3.61 MB/s
103.184.45.207,443,true,SJC,North America,San Jose,190 ms,3.61 MB/s
103.184.45.139,443,true,SJC,North America,San Jose,196 ms,3.57 MB/s
103.184.44.34,443,true,SJC,North America,San Jose,191 ms,3.56 MB/s
103.184.45.118,443,true,SJC,North America,San Jose,193 ms,3.53 MB/s
103.184.44.203,443,true,SJC,North America,San Jose,186 ms,3.51 MB/s
103.184.45.148,443,true,SJC,North America,San Jose,201 ms,3.51 MB/s
103.184.45.2,443,true,SJC,North America,San Jose,191 ms,3.50 MB/s
103.184.45.106,443,true,SJC,North America,San Jose,186 ms,3.50 MB/s
103.184.44.82,443,true,SJC,North America,San Jose,200 ms,3.50 MB/s
103.184.45.159,443,true,SJC,North America,San Jose,190 ms,3.48 MB/s
103.184.45.124,443,true,SJC,North America,San Jose,187 ms,3.48 MB/s
103.184.45.239,443,true,SJC,North America,San Jose,227 ms,3.47 MB/s
103.184.45.191,443,true,SJC,North America,San Jose,191 ms,3.45 MB/s
103.184.45.201,443,true,SJC,North America,San Jose,191 ms,3.44 MB/s
103.184.44.174,443,true,SJC,North America,San Jose,189 ms,3.42 MB/s
103.184.44.49,443,true,SJC,North America,San Jose,190 ms,3.42 MB/s
103.184.44.83,443,true,SJC,North America,San Jose,237 ms,3.41 MB/s
103.184.45.117,443,true,SJC,North America,San Jose,193 ms,3.40 MB/s
103.184.44.47,443,true,SJC,North America,San Jose,186 ms,3.38 MB/s
103.184.44.159,443,true,SJC,North America,San Jose,184 ms,3.36 MB/s
